Trial	Day	Infected	Susceptible	Recovered
1	0	10	9990	0
1	1	24	9976	0
1	2	39	9961	0
1	3	64	9936	0
1	4	77	9914	9
1	5	94	9882	24
1	6	118	9843	39
1	7	141	9795	64
1	8	167	9747	86
1	9	202	9680	118
1	10	216	9627	157
1	11	230	9565	205
1	12	256	9491	253
1	13	270	9410	320
1	14	281	9346	373
1	15	313	9252	435
1	16	317	9174	509
1	17	318	9092	590
1	18	341	9005	654
1	19	332	8920	748
1	20	337	8837	826
1	21	344	8748	908
1	22	322	8683	995
1	23	309	8611	1080
1	24	325	8512	1163
1	25	327	8421	1252
1	26	365	8318	1317
1	27	406	8205	1389
1	28	397	8115	1488
1	29	400	8021	1579
1	30	413	7905	1682
1	31	428	7777	1795
1	32	475	7640	1885
1	33	475	7546	1979
1	34	475	7430	2095
1	35	432	7345	2223
1	36	432	7208	2360
1	37	451	7095	2454
1	38	439	6991	2570
1	39	454	6891	2655
1	40	418	6790	2792
1	41	448	6647	2905
1	42	464	6527	3009
1	43	453	6438	3109
1	44	454	6336	3210
1	45	409	6238	3353
1	46	383	6144	3473
1	47	375	6063	3562
1	48	378	5958	3664
1	49	365	5873	3762
1	50	351	5793	3856
1	51	346	5717	3937
1	52	323	5635	4042
1	53	297	5576	4127
1	54	283	5510	4207
1	55	284	5433	4283
1	56	251	5384	4365
1	57	257	5319	4424
1	58	275	5235	4490
1	59	273	5160	4567
1	60	302	5082	4616
1	61	309	5010	4681
1	62	291	4944	4765
1	63	281	4879	4840
1	64	266	4816	4918
1	65	268	4742	4990
1	66	256	4688	5056
1	67	260	4619	5121
1	68	266	4550	5184
1	69	255	4487	5258
1	70	267	4421	5312
1	71	268	4351	5381
1	72	251	4299	5450
1	73	242	4245	5513
1	74	238	4183	5579
1	75	228	4123	5649
1	76	234	4065	5701
1	77	252	3993	5755
1	78	259	3924	5817
1	79	258	3865	5877
1	80	272	3793	5935
1	81	280	3713	6007
1	82	294	3630	6076
1	83	301	3564	6135
1	84	282	3511	6207
1	85	262	3451	6287
1	86	261	3369	6370
1	87	264	3300	6436
1	88	274	3237	6489
1	89	268	3183	6549
1	90	241	3128	6631
1	91	229	3071	6700
1	92	217	3020	6763
1	93	219	2964	6817
1	94	193	2935	6872
1	95	183	2888	6929
1	96	176	2844	6980
1	97	173	2791	7036
1	98	185	2750	7065
1	99	188	2700	7112
1	100	189	2655	7156
1	101	180	2611	7209
1	102	162	2588	7250
1	103	165	2535	7300
1	104	159	2496	7345
1	105	154	2457	7389
1	106	180	2408	7412
1	107	172	2363	7465
1	108	171	2325	7504
1	109	165	2292	7543
1	110	161	2247	7592
1	111	146	2217	7637
1	112	158	2167	7675
1	113	166	2126	7708
1	114	152	2095	7753
1	115	162	2055	7783
1	116	149	2018	7833
1	117	150	1976	7874
1	118	151	1944	7905
1	119	139	1916	7945
1	120	137	1881	7982
1	121	129	1847	8024
1	122	129	1815	8056
1	123	140	1776	8084
