Trial	Day	Infected	Vaccinated
1	0	1200	0
1	1	2108	4633
1	2	2524	6203
1	3	2668	6770
1	4	2721	6963
1	5	1551	7034
1	6	623	7054
1	7	207	7064
1	8	63	7067
1	9	10	7069
1	10	0	7069
2	0	1200	0
2	1	2108	4633
2	2	2524	6203
2	3	2668	6770
2	4	2721	6963
2	5	1551	7034
2	6	623	7054
2	7	207	7064
2	8	63	7067
2	9	10	7069
2	10	0	7069
3	0	1200	0
3	1	2108	4633
3	2	2524	6203
3	3	2668	6770
3	4	2721	6963
3	5	1551	7034
3	6	623	7054
3	7	207	7064
3	8	63	7067
3	9	10	7069
3	10	0	7069
4	0	1200	0
4	1	2100	4519
4	2	2519	6122
4	3	2671	6720
4	4	2718	6950
4	5	1547	7029
4	6	628	7056
4	7	210	7069
4	8	58	7071
4	9	11	7071
4	10	1	7071
4	11	1	7071
4	12	0	7071
5	0	1200	0
5	1	2097	4491
5	2	2526	6077
5	3	2688	6692
5	4	2747	6926
5	5	1573	7007
5	6	657	7031
5	7	228	7040
5	8	66	7044
5	9	7	7045
5	10	0	7046
6	0	1200	0
6	1	2097	4491
6	2	2526	6077
6	3	2688	6692
6	4	2747	6926
6	5	1573	7007
6	6	657	7031
6	7	228	7040
6	8	66	7044
6	9	7	7045
6	10	0	7046
7	0	1200	0
7	1	2097	4491
7	2	2526	6077
7	3	2688	6692
7	4	2747	6926
7	5	1573	7007
7	6	657	7031
7	7	228	7040
7	8	66	7044
7	9	7	7045
7	10	0	7046
8	0	1200	0
8	1	2097	4491
8	2	2526	6077
8	3	2688	6692
8	4	2747	6926
8	5	1573	7007
8	6	657	7031
8	7	228	7040
8	8	66	7044
8	9	7	7045
8	10	0	7046
9	0	1200	0
9	1	2097	4491
9	2	2526	6077
9	3	2688	6692
9	4	2747	6926
9	5	1573	7007
9	6	657	7031
9	7	228	7040
9	8	66	7044
9	9	7	7045
9	10	0	7046
10	0	1200	0
10	1	2123	4521
10	2	2612	6174
10	3	2764	6693
10	4	2823	6868
10	5	1654	6928
10	6	713	6948
10	7	224	6957
10	8	72	6962
10	9	13	6962
10	10	2	6963
10	11	0	6963
11	0	1200	0
11	1	2123	4521
11	2	2612	6174
11	3	2764	6693
11	4	2823	6868
11	5	1654	6928
11	6	713	6948
11	7	224	6957
11	8	72	6962
11	9	13	6962
11	10	2	6963
11	11	0	6963
12	0	1200	0
12	1	2123	4521
12	2	2612	6174
12	3	2764	6693
12	4	2823	6868
12	5	1654	6928
12	6	713	6948
12	7	224	6957
12	8	72	6962
12	9	13	6962
12	10	2	6963
12	11	0	6963
13	0	1200	0
13	1	2123	4521
13	2	2612	6174
13	3	2764	6693
13	4	2823	6868
13	5	1654	6928
13	6	713	6948
13	7	224	6957
13	8	72	6962
13	9	13	6962
13	10	2	6963
13	11	0	6963
14	0	1200	0
14	1	2123	4521
14	2	2612	6174
14	3	2764	6693
14	4	2823	6868
14	5	1654	6928
14	6	713	6948
14	7	224	6957
14	8	72	6962
14	9	13	6962
14	10	2	6963
14	11	0	6963
15	0	1200	0
15	1	2277	4637
15	2	2720	6055
15	3	2875	6554
15	4	2930	6745
15	5	1752	6813
15	6	662	6836
15	7	219	6846
15	8	64	6856
15	9	9	6860
15	10	3	6860
15	11	0	6860
16	0	1200	0
16	1	2277	4637
16	2	2720	6055
16	3	2875	6554
16	4	2930	6745
16	5	1752	6813
16	6	662	6836
16	7	219	6846
16	8	64	6856
16	9	9	6860
16	10	3	6860
16	11	0	6860
17	0	1200	0
17	1	2277	4637
17	2	2720	6055
17	3	2875	6554
17	4	2930	6745
17	5	1752	6813
17	6	662	6836
17	7	219	6846
17	8	64	6856
17	9	9	6860
17	10	3	6860
17	11	0	6860
18	0	1200	0
18	1	2277	4637
18	2	2720	6055
18	3	2875	6554
18	4	2930	6745
18	5	1752	6813
18	6	662	6836
18	7	219	6846
18	8	64	6856
18	9	9	6860
18	10	3	6860
18	11	0	6860
19	0	1200	0
19	1	2277	4637
19	2	2720	6055
19	3	2875	6554
19	4	2930	6745
19	5	1752	6813
19	6	662	6836
19	7	219	6846
19	8	64	6856
19	9	9	6860
19	10	3	6860
19	11	0	6860
20	0	1200	0
20	1	2277	4637
20	2	2720	6055
20	3	2875	6554
20	4	2930	6745
20	5	1752	6813
20	6	662	6836
20	7	219	6846
20	8	64	6856
20	9	9	6860
20	10	3	6860
20	11	0	6860
