Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	220	9780	0	453
1	2	392	9608	0	910
1	3	562	9438	0	1350
1	4	749	9251	0	1784
1	5	830	9070	100	2150
1	6	905	8875	220	2537
1	7	942	8666	392	2878
1	8	956	8482	562	3171
1	9	921	8330	749	3438
1	10	885	8185	930	3690
1	11	801	8074	1125	3864
1	12	717	7949	1334	4071
1	13	613	7869	1518	4232
1	14	541	7789	1670	4370
1	15	459	7726	1815	4540
1	16	403	7671	1926	4721
1	17	325	7624	2051	4875
1	18	272	7597	2131	5004
1	19	210	7579	2211	5141
1	20	163	7563	2274	5278
1	21	121	7550	2329	5353
1	22	81	7543	2376	5464
1	23	61	7536	2403	5553
1	24	48	7531	2421	5626
1	25	33	7530	2437	5715
1	26	23	7527	2450	5803
1	27	16	7527	2457	5880
1	28	9	7527	2464	5925
1	29	5	7526	2469	6009
1	30	4	7526	2470	6093
1	31	1	7526	2473	6155
1	32	1	7526	2473	6220
1	33	1	7526	2473	6269
1	34	0	7526	2474	6309
2	0	100	9900	0	0
2	1	220	9780	0	453
2	2	392	9608	0	910
2	3	562	9438	0	1350
2	4	749	9251	0	1784
2	5	830	9070	100	2150
2	6	905	8875	220	2537
2	7	942	8666	392	2878
2	8	956	8482	562	3171
2	9	921	8330	749	3438
2	10	885	8185	930	3690
2	11	801	8074	1125	3864
2	12	717	7949	1334	4071
2	13	613	7869	1518	4232
2	14	541	7789	1670	4370
2	15	459	7726	1815	4540
2	16	403	7671	1926	4721
2	17	325	7624	2051	4875
2	18	272	7597	2131	5004
2	19	210	7579	2211	5141
2	20	163	7563	2274	5278
2	21	121	7550	2329	5353
2	22	81	7543	2376	5464
2	23	61	7536	2403	5553
2	24	48	7531	2421	5626
2	25	33	7530	2437	5715
2	26	23	7527	2450	5803
2	27	16	7527	2457	5880
2	28	9	7527	2464	5925
2	29	5	7526	2469	6009
2	30	4	7526	2470	6093
2	31	1	7526	2473	6155
2	32	1	7526	2473	6220
2	33	1	7526	2473	6269
2	34	0	7526	2474	6309
3	0	100	9900	0	0
3	1	220	9780	0	453
3	2	392	9608	0	910
3	3	562	9438	0	1350
3	4	749	9251	0	1784
3	5	830	9070	100	2150
3	6	905	8875	220	2537
3	7	942	8666	392	2878
3	8	956	8482	562	3171
3	9	921	8330	749	3438
3	10	885	8185	930	3690
3	11	801	8074	1125	3864
3	12	717	7949	1334	4071
3	13	613	7869	1518	4232
3	14	541	7789	1670	4370
3	15	459	7726	1815	4540
3	16	403	7671	1926	4721
3	17	325	7624	2051	4875
3	18	272	7597	2131	5004
3	19	210	7579	2211	5141
3	20	163	7563	2274	5278
3	21	121	7550	2329	5353
3	22	81	7543	2376	5464
3	23	61	7536	2403	5553
3	24	48	7531	2421	5626
3	25	33	7530	2437	5715
3	26	23	7527	2450	5803
3	27	16	7527	2457	5880
3	28	9	7527	2464	5925
3	29	5	7526	2469	6009
3	30	4	7526	2470	6093
3	31	1	7526	2473	6155
3	32	1	7526	2473	6220
3	33	1	7526	2473	6269
3	34	0	7526	2474	6309
4	0	100	9900	0	0
4	1	220	9780	0	453
4	2	392	9608	0	910
4	3	562	9438	0	1350
4	4	749	9251	0	1784
4	5	830	9070	100	2150
4	6	905	8875	220	2537
4	7	942	8666	392	2878
4	8	956	8482	562	3171
4	9	921	8330	749	3438
4	10	885	8185	930	3690
4	11	801	8074	1125	3864
4	12	717	7949	1334	4071
4	13	613	7869	1518	4232
4	14	541	7789	1670	4370
4	15	459	7726	1815	4540
4	16	403	7671	1926	4721
4	17	325	7624	2051	4875
4	18	272	7597	2131	5004
4	19	210	7579	2211	5141
4	20	163	7563	2274	5278
4	21	121	7550	2329	5353
4	22	81	7543	2376	5464
4	23	61	7536	2403	5553
4	24	48	7531	2421	5626
4	25	33	7530	2437	5715
4	26	23	7527	2450	5803
4	27	16	7527	2457	5880
4	28	9	7527	2464	5925
4	29	5	7526	2469	6009
4	30	4	7526	2470	6093
4	31	1	7526	2473	6155
4	32	1	7526	2473	6220
4	33	1	7526	2473	6269
4	34	0	7526	2474	6309
5	0	100	9900	0	0
5	1	195	9805	0	397
5	2	372	9628	0	939
5	3	580	9420	0	1344
5	4	797	9203	0	1673
5	5	950	8950	100	2063
5	6	1093	8712	195	2403
5	7	1148	8480	372	2690
5	8	1197	8223	580	2967
5	9	1164	8039	797	3199
5	10	1112	7838	1050	3428
5	11	1029	7683	1288	3635
5	12	958	7522	1520	3824
5	13	858	7365	1777	3977
5	14	789	7250	1961	4137
5	15	683	7155	2162	4283
5	16	615	7068	2317	4442
5	17	519	7003	2478	4574
5	18	402	6963	2635	4681
5	19	321	6929	2750	4778
5	20	253	6902	2845	4873
5	21	191	6877	2932	4967
5	22	144	6859	2997	5035
5	23	114	6849	3037	5117
5	24	88	6841	3071	5200
5	25	69	6833	3098	5259
5	26	49	6828	3123	5330
5	27	35	6824	3141	5384
5	28	26	6823	3151	5441
5	29	20	6821	3159	5511
5	30	12	6821	3167	5554
5	31	8	6820	3172	5602
5	32	4	6820	3176	5645
5	33	3	6820	3177	5701
5	34	1	6820	3179	5742
5	35	1	6820	3179	5787
5	36	0	6820	3180	5824
6	0	100	9900	0	0
6	1	195	9805	0	397
6	2	372	9628	0	939
6	3	580	9420	0	1344
6	4	797	9203	0	1673
6	5	950	8950	100	2063
6	6	1093	8712	195	2403
6	7	1148	8480	372	2690
6	8	1197	8223	580	2967
6	9	1164	8039	797	3199
6	10	1112	7838	1050	3428
6	11	1029	7683	1288	3635
6	12	958	7522	1520	3824
6	13	858	7365	1777	3977
6	14	789	7250	1961	4137
6	15	683	7155	2162	4283
6	16	615	7068	2317	4442
6	17	519	7003	2478	4574
6	18	402	6963	2635	4681
6	19	321	6929	2750	4778
6	20	253	6902	2845	4873
6	21	191	6877	2932	4967
6	22	144	6859	2997	5035
6	23	114	6849	3037	5117
6	24	88	6841	3071	5200
6	25	69	6833	3098	5259
6	26	49	6828	3123	5330
6	27	35	6824	3141	5384
6	28	26	6823	3151	5441
6	29	20	6821	3159	5511
6	30	12	6821	3167	5554
