Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	229	9771	0	182
1	2	392	9608	0	388
1	3	567	9433	0	500
1	4	802	9198	0	638
1	5	976	8928	96	838
1	6	1144	8627	229	1016
1	7	1312	8296	392	1143
1	8	1444	7989	567	1236
1	9	1522	7676	802	1341
1	10	1569	7359	1072	1452
1	11	1561	7066	1373	1565
1	12	1486	6810	1704	1647
1	13	1451	6538	2011	1761
1	14	1377	6299	2324	1859
1	15	1318	6041	2641	1938
1	16	1273	5793	2934	2021
1	17	1229	5581	3190	2086
1	18	1160	5378	3462	2155
1	19	1093	5206	3701	2209
1	20	989	5052	3959	2266
1	21	891	4902	4207	2317
1	22	808	4773	4419	2364
1	23	710	4668	4622	2406
1	24	637	4569	4794	2442
1	25	564	4488	4948	2484
1	26	500	4402	5098	2527
1	27	457	4316	5227	2560
1	28	405	4263	5332	2593
1	29	355	4214	5431	2624
1	30	309	4179	5512	2646
1	31	255	4147	5598	2657
1	32	189	4127	5684	2676
1	33	166	4097	5737	2706
1	34	141	4073	5786	2731
1	35	134	4045	5821	2755
1	36	119	4028	5853	2777
1	37	111	4016	5873	2801
1	38	92	4005	5903	2825
1	39	74	3999	5927	2844
1	40	56	3989	5955	2860
1	41	50	3978	5972	2879
1	42	41	3975	5984	2893
1	43	36	3969	5995	2908
1	44	32	3967	6001	2922
1	45	28	3961	6011	2933
1	46	19	3959	6022	2948
1	47	19	3956	6025	2965
1	48	16	3953	6031	2978
1	49	17	3950	6033	2995
1	50	14	3947	6039	3013
1	51	15	3944	6041	3030
1	52	12	3944	6044	3045
1	53	13	3940	6047	3068
1	54	11	3939	6050	3080
1	55	9	3938	6053	3094
1	56	6	3938	6056	3113
1	57	7	3937	6056	3127
1	58	3	3937	6060	3138
1	59	2	3937	6061	3144
1	60	1	3937	6062	3149
1	61	1	3937	6062	3163
1	62	0	3937	6063	3174
2	0	100	9900	0	0
2	1	229	9771	0	182
2	2	392	9608	0	388
2	3	567	9433	0	500
2	4	802	9198	0	638
2	5	976	8928	96	838
2	6	1144	8627	229	1016
2	7	1312	8296	392	1143
2	8	1444	7989	567	1236
2	9	1522	7676	802	1341
2	10	1569	7359	1072	1452
2	11	1561	7066	1373	1565
2	12	1486	6810	1704	1647
2	13	1451	6538	2011	1761
2	14	1377	6299	2324	1859
2	15	1318	6041	2641	1938
2	16	1273	5793	2934	2021
2	17	1229	5581	3190	2086
2	18	1160	5378	3462	2155
2	19	1093	5206	3701	2209
2	20	989	5052	3959	2266
2	21	891	4902	4207	2317
2	22	808	4773	4419	2364
2	23	710	4668	4622	2406
2	24	637	4569	4794	2442
2	25	564	4488	4948	2484
2	26	500	4402	5098	2527
2	27	457	4316	5227	2560
2	28	405	4263	5332	2593
2	29	355	4214	5431	2624
2	30	309	4179	5512	2646
2	31	255	4147	5598	2657
2	32	189	4127	5684	2676
2	33	166	4097	5737	2706
2	34	141	4073	5786	2731
2	35	134	4045	5821	2755
2	36	119	4028	5853	2777
2	37	111	4016	5873	2801
2	38	92	4005	5903	2825
2	39	74	3999	5927	2844
2	40	56	3989	5955	2860
2	41	50	3978	5972	2879
2	42	41	3975	5984	2893
2	43	36	3969	5995	2908
2	44	32	3967	6001	2922
2	45	28	3961	6011	2933
2	46	19	3959	6022	2948
2	47	19	3956	6025	2965
2	48	16	3953	6031	2978
2	49	17	3950	6033	2995
2	50	14	3947	6039	3013
2	51	15	3944	6041	3030
2	52	12	3944	6044	3045
2	53	13	3940	6047	3068
2	54	11	3939	6050	3080
2	55	9	3938	6053	3094
2	56	6	3938	6056	3113
2	57	7	3937	6056	3127
2	58	3	3937	6060	3138
2	59	2	3937	6061	3144
2	60	1	3937	6062	3149
2	61	1	3937	6062	3163
2	62	0	3937	6063	3174
3	0	100	9900	0	0
3	1	229	9771	0	182
3	2	392	9608	0	388
3	3	567	9433	0	500
3	4	802	9198	0	638
3	5	976	8928	96	838
3	6	1144	8627	229	1016
3	7	1312	8296	392	1143
3	8	1444	7989	567	1236
3	9	1522	7676	802	1341
3	10	1569	7359	1072	1452
3	11	1561	7066	1373	1565
3	12	1486	6810	1704	1647
3	13	1451	6538	2011	1761
3	14	1377	6299	2324	1859
3	15	1318	6041	2641	1938
3	16	1273	5793	2934	2021
3	17	1229	5581	3190	2086
3	18	1160	5378	3462	2155
3	19	1093	5206	3701	2209
3	20	989	5052	3959	2266
3	21	891	4902	4207	2317
3	22	808	4773	4419	2364
3	23	710	4668	4622	2406
3	24	637	4569	4794	2442
3	25	564	4488	4948	2484
3	26	500	4402	5098	2527
3	27	457	4316	5227	2560
3	28	405	4263	5332	2593
3	29	355	4214	5431	2624
3	30	309	4179	5512	2646
3	31	255	4147	5598	2657
3	32	189	4127	5684	2676
3	33	166	4097	5737	2706
3	34	141	4073	5786	2731
3	35	134	4045	5821	2755
3	36	119	4028	5853	2777
3	37	111	4016	5873	2801
3	38	92	4005	5903	2825
3	39	74	3999	5927	2844
3	40	56	3989	5955	2860
3	41	50	3978	5972	2879
3	42	41	3975	5984	2893
3	43	36	3969	5995	2908
3	44	32	3967	6001	2922
3	45	28	3961	6011	2933
3	46	19	3959	6022	2948
3	47	19	3956	6025	2965
3	48	16	3953	6031	2978
3	49	17	3950	6033	2995
3	50	14	3947	6039	3013
3	51	15	3944	6041	3030
3	52	12	3944	6044	3045
3	53	13	3940	6047	3068
3	54	11	3939	6050	3080
3	55	9	3938	6053	3094
3	56	6	3938	6056	3113
3	57	7	3937	6056	3127
3	58	3	3937	6060	3138
3	59	2	3937	6061	3144
3	60	1	3937	6062	3149
3	61	1	3937	6062	3163
3	62	0	3937	6063	3174
4	0	100	9900	0	0
4	1	217	9783	0	174
4	2	390	9610	0	368
4	3	605	9395	0	487
4	4	854	9146	0	672
4	5	1044	8856	100	846
4	6	1225	8558	217	994
4	7	1379	8231	390	1149
4	8	1503	7892	605	1240
4	9	1590	7556	854	1375
4	10	1620	7236	1144	1530
4	11	1661	6897	1442	1650
4	12	1659	6572	1769	1749
4	13	1623	6269	2108	1838
4	14	1596	5960	2444	1924
4	15	1526	5710	2764	2002
4	16	1440	5457	3103	2074
4	17	1306	5266	3428	2158
4	18	1200	5069	3731	2209
4	19	1069	4891	4040	2255
4	20	960	4750	4290	2300
4	21	824	4633	4543	2335
4	22	713	4553	4734	2362
4	23	606	4463	4931	2393
4	24	505	4386	5109	2417
4	25	415	4335	5250	2442
4	26	344	4289	5367	2468
4	27	312	4241	5447	2492
4	28	270	4193	5537	2516
4	29	219	4167	5614	2551
4	30	197	4138	5665	2588
4	31	179	4110	5711	2616
4	32	160	4081	5759	2637
4	33	130	4063	5807	2658
4	34	121	4046	5833	2685
4	35	101	4037	5862	2706
4	36	79	4031	5890	2738
4	37	57	4024	5919	2759
4	38	43	4020	5937	2782
4	39	29	4017	5954	2803
4	40	28	4009	5963	2823
4	41	24	4007	5969	2838
4	42	18	4006	5976	2853
4	43	16	4004	5980	2878
4	44	14	4003	5983	2890
4	45	7	4002	5991	2905
4	46	5	4002	5993	2921
4	47	5	4001	5994	2935
4	48	3	4001	5996	2960
4	49	2	4001	5997	2989
4	50	1	4001	5998	3002
4	51	1	4001	5998	3019
4	52	0	4001	5999	3031
5	0	100	9900	0	0
5	1	217	9783	0	174
5	2	390	9610	0	368
5	3	605	9395	0	487
5	4	854	9146	0	672
5	5	1044	8856	100	846
5	6	1225	8558	217	994
5	7	1379	8231	390	1149
5	8	1503	7892	605	1240
5	9	1590	7556	854	1375
5	10	1620	7236	1144	1530
5	11	1661	6897	1442	1650
5	12	1659	6572	1769	1749
5	13	1623	6269	2108	1838
5	14	1596	5960	2444	1924
5	15	1526	5710	2764	2002
5	16	1440	5457	3103	2074
5	17	1306	5266	3428	2158
5	18	1200	5069	3731	2209
5	19	1069	4891	4040	2255
5	20	960	4750	4290	2300
5	21	824	4633	4543	2335
5	22	713	4553	4734	2362
5	23	606	4463	4931	2393
5	24	505	4386	5109	2417
5	25	415	4335	5250	2442
5	26	344	4289	5367	2468
5	27	312	4241	5447	2492
5	28	270	4193	5537	2516
5	29	219	4167	5614	2551
5	30	197	4138	5665	2588
5	31	179	4110	5711	2616
5	32	160	4081	5759	2637
5	33	130	4063	5807	2658
5	34	121	4046	5833	2685
5	35	101	4037	5862	2706
5	36	79	4031	5890	2738
5	37	57	4024	5919	2759
5	38	43	4020	5937	2782
5	39	29	4017	5954	2803
5	40	28	4009	5963	2823
5	41	24	4007	5969	2838
5	42	18	4006	5976	2853
5	43	16	4004	5980	2878
5	44	14	4003	5983	2890
5	45	7	4002	5991	2905
5	46	5	4002	5993	2921
5	47	5	4001	5994	2935
5	48	3	4001	5996	2960
5	49	2	4001	5997	2989
5	50	1	4001	5998	3002
5	51	1	4001	5998	3019
5	52	0	4001	5999	3031
6	0	100	9900	0	0
6	1	217	9783	0	174
6	2	390	9610	0	368
6	3	605	9395	0	487
6	4	854	9146	0	672
6	5	1044	8856	100	846
6	6	1225	8558	217	994
6	7	1379	8231	390	1149
6	8	1503	7892	605	1240
6	9	1590	7556	854	1375
6	10	1620	7236	1144	1530
6	11	1661	6897	1442	1650
6	12	1659	6572	1769	1749
6	13	1623	6269	2108	1838
6	14	1596	5960	2444	1924
6	15	1526	5710	2764	2002
6	16	1440	5457	3103	2074
6	17	1306	5266	3428	2158
6	18	1200	5069	3731	2209
6	19	1069	4891	4040	2255
6	20	960	4750	4290	2300
6	21	824	4633	4543	2335
6	22	713	4553	4734	2362
6	23	606	4463	4931	2393
6	24	505	4386	5109	2417
6	25	415	4335	5250	2442
6	26	344	4289	5367	2468
6	27	312	4241	5447	2492
6	28	270	4193	5537	2516
6	29	219	4167	5614	2551
6	30	197	4138	5665	2588
6	31	179	4110	5711	2616
6	32	160	4081	5759	2637
6	33	130	4063	5807	2658
6	34	121	4046	5833	2685
6	35	101	4037	5862	2706
6	36	79	4031	5890	2738
6	37	57	4024	5919	2759
6	38	43	4020	5937	2782
6	39	29	4017	5954	2803
6	40	28	4009	5963	2823
6	41	24	4007	5969	2838
6	42	18	4006	5976	2853
6	43	16	4004	5980	2878
6	44	14	4003	5983	2890
6	45	7	4002	5991	2905
6	46	5	4002	5993	2921
6	47	5	4001	5994	2935
6	48	3	4001	5996	2960
6	49	2	4001	5997	2989
6	50	1	4001	5998	3002
6	51	1	4001	5998	3019
6	52	0	4001	5999	3031
7	0	100	9900	0	0
7	1	217	9783	0	174
7	2	390	9610	0	368
7	3	605	9395	0	487
7	4	854	9146	0	672
7	5	1044	8856	100	846
7	6	1225	8558	217	994
7	7	1379	8231	390	1149
7	8	1503	7892	605	1240
7	9	1590	7556	854	1375
7	10	1620	7236	1144	1530
7	11	1661	6897	1442	1650
7	12	1659	6572	1769	1749
7	13	1623	6269	2108	1838
7	14	1596	5960	2444	1924
7	15	1526	5710	2764	2002
7	16	1440	5457	3103	2074
7	17	1306	5266	3428	2158
7	18	1200	5069	3731	2209
7	19	1069	4891	4040	2255
7	20	960	4750	4290	2300
7	21	824	4633	4543	2335
7	22	713	4553	4734	2362
7	23	606	4463	4931	2393
7	24	505	4386	5109	2417
7	25	415	4335	5250	2442
7	26	344	4289	5367	2468
7	27	312	4241	5447	2492
7	28	270	4193	5537	2516
7	29	219	4167	5614	2551
7	30	197	4138	5665	2588
7	31	179	4110	5711	2616
7	32	160	4081	5759	2637
7	33	130	4063	5807	2658
7	34	121	4046	5833	2685
7	35	101	4037	5862	2706
7	36	79	4031	5890	2738
7	37	57	4024	5919	2759
7	38	43	4020	5937	2782
7	39	29	4017	5954	2803
7	40	28	4009	5963	2823
7	41	24	4007	5969	2838
7	42	18	4006	5976	2853
7	43	16	4004	5980	2878
7	44	14	4003	5983	2890
7	45	7	4002	5991	2905
7	46	5	4002	5993	2921
7	47	5	4001	5994	2935
7	48	3	4001	5996	2960
7	49	2	4001	5997	2989
7	50	1	4001	5998	3002
7	51	1	4001	5998	3019
7	52	0	4001	5999	3031
8	0	100	9900	0	0
8	1	217	9783	0	174
8	2	390	9610	0	368
8	3	605	9395	0	487
8	4	854	9146	0	672
8	5	1044	8856	100	846
8	6	1225	8558	217	994
8	7	1379	8231	390	1149
8	8	1503	7892	605	1240
8	9	1590	7556	854	1375
8	10	1620	7236	1144	1530
8	11	1661	6897	1442	1650
8	12	1659	6572	1769	1749
8	13	1623	6269	2108	1838
8	14	1596	5960	2444	1924
8	15	1526	5710	2764	2002
8	16	1440	5457	3103	2074
8	17	1306	5266	3428	2158
8	18	1200	5069	3731	2209
8	19	1069	4891	4040	2255
8	20	960	4750	4290	2300
8	21	824	4633	4543	2335
8	22	713	4553	4734	2362
8	23	606	4463	4931	2393
8	24	505	4386	5109	2417
8	25	415	4335	5250	2442
8	26	344	4289	5367	2468
8	27	312	4241	5447	2492
8	28	270	4193	5537	2516
8	29	219	4167	5614	2551
8	30	197	4138	5665	2588
8	31	179	4110	5711	2616
8	32	160	4081	5759	2637
8	33	130	4063	5807	2658
8	34	121	4046	5833	2685
8	35	101	4037	5862	2706
8	36	79	4031	5890	2738
8	37	57	4024	5919	2759
8	38	43	4020	5937	2782
8	39	29	4017	5954	2803
8	40	28	4009	5963	2823
8	41	24	4007	5969	2838
8	42	18	4006	5976	2853
8	43	16	4004	5980	2878
8	44	14	4003	5983	2890
8	45	7	4002	5991	2905
8	46	5	4002	5993	2921
8	47	5	4001	5994	2935
8	48	3	4001	5996	2960
8	49	2	4001	5997	2989
8	50	1	4001	5998	3002
8	51	1	4001	5998	3019
