Trial	Day	Infected	Vaccinated	VaxProb
6	8	3314	3403	3283	0
6	9	3033	2968	3999	0
6	10	2600	2589	4811	0
6	11	2308	2270	5422	0
6	12	1933	2016	6051	0
6	13	1610	1793	6597	0
6	14	1352	1616	7032	0
6	15	1106	1483	7411	0
6	16	900	1370	7730	0
6	17	742	1274	7984	0
6	18	571	1222	8207	0
6	19	436	1180	8384	0
6	20	347	1136	8517	0
6	21	271	1099	8630	0
6	22	199	1075	8726	0
6	23	157	1065	8778	0
6	24	128	1052	8820	0
6	25	101	1035	8864	0
6	26	74	1025	8901	0
6	27	59	1016	8925	0
6	28	53	1012	8935	0
6	29	46	1006	8948	0
6	30	35	1000	8965	0
6	31	27	998	8975	0
6	32	21	995	8984	0
6	33	19	993	8988	0
6	34	15	991	8994	0
6	35	10	990	9000	0
6	36	9	989	9002	0
6	37	7	988	9005	0
6	38	5	988	9007	0
6	39	3	988	9009	0
6	40	2	988	9010	0
6	41	1	988	9011	0
6	42	0	988	9012	0
7	0	1200	8800	0	0
7	1	1789	8211	0	0
7	2	2528	7472	0	0
7	3	3283	6717	0	0
7	4	3999	6001	0	0
7	5	3614	5189	1197	0
7	6	3633	4578	1789	0
7	7	3523	3949	2528	0
7	8	3314	3403	3283	0
7	9	3033	2968	3999	0
7	10	2600	2589	4811	0
7	11	2308	2270	5422	0
7	12	1933	2016	6051	0
7	13	1610	1793	6597	0
7	14	1352	1616	7032	0
7	15	1106	1483	7411	0
7	16	900	1370	7730	0
7	17	742	1274	7984	0
7	18	571	1222	8207	0
7	19	436	1180	8384	0
7	20	347	1136	8517	0
7	21	271	1099	8630	0
7	22	199	1075	8726	0
7	23	157	1065	8778	0
7	24	128	1052	8820	0
7	25	101	1035	8864	0
7	26	74	1025	8901	0
7	27	59	1016	8925	0
7	28	53	1012	8935	0
7	29	46	1006	8948	0
7	30	35	1000	8965	0
7	31	27	998	8975	0
7	32	21	995	8984	0
7	33	19	993	8988	0
7	34	15	991	8994	0
7	35	10	990	9000	0
7	36	9	989	9002	0
7	37	7	988	9005	0
7	38	5	988	9007	0
7	39	3	988	9009	0
7	40	2	988	9010	0
7	41	1	988	9011	0
7	42	0	988	9012	0
8	0	1200	8800	0	0
8	1	1789	8211	0	0
8	2	2528	7472	0	0
8	3	3283	6717	0	0
8	4	3999	6001	0	0
8	5	3614	5189	1197	0
8	6	3633	4578	1789	0
8	7	3523	3949	2528	0
8	8	3314	3403	3283	0
8	9	3033	2968	3999	0
8	10	2600	2589	4811	0
8	11	2308	2270	5422	0
8	12	1933	2016	6051	0
8	13	1610	1793	6597	0
8	14	1352	1616	7032	0
8	15	1106	1483	7411	0
8	16	900	1370	7730	0
8	17	742	1274	7984	0
8	18	571	1222	8207	0
8	19	436	1180	8384	0
8	20	347	1136	8517	0
8	21	271	1099	8630	0
8	22	199	1075	8726	0
8	23	157	1065	8778	0
8	24	128	1052	8820	0
8	25	101	1035	8864	0
8	26	74	1025	8901	0
8	27	59	1016	8925	0
8	28	53	1012	8935	0
