Trial	Day	Infected	Vaccinated
1	0	1200	0
1	1	2230	6104
1	2	2482	7076
1	3	2506	7254
1	4	2511	7284
1	5	1337	7286
1	6	282	7287
1	7	30	7288
1	8	6	7288
1	9	1	7288
1	10	0	7288
2	0	1200	0
2	1	2230	6104
2	2	2482	7076
2	3	2506	7254
2	4	2511	7284
2	5	1337	7286
2	6	282	7287
2	7	30	7288
2	8	6	7288
2	9	1	7288
2	10	0	7288
3	0	1200	0
3	1	2230	6104
3	2	2482	7076
3	3	2506	7254
3	4	2511	7284
3	5	1337	7286
3	6	282	7287
3	7	30	7288
3	8	6	7288
3	9	1	7288
3	10	0	7288
4	0	1200	0
4	1	2230	6104
4	2	2482	7076
4	3	2506	7254
4	4	2511	7284
4	5	1337	7286
4	6	282	7287
4	7	30	7288
4	8	6	7288
4	9	1	7288
4	10	0	7288
5	0	1200	0
5	1	2199	6056
5	2	2420	7131
5	3	2459	7290
5	4	2464	7325
5	5	1297	7331
5	6	266	7335
5	7	45	7335
5	8	6	7335
5	9	1	7335
5	10	0	7335
6	0	1200	0
6	1	2159	6067
6	2	2365	7170
6	3	2400	7344
6	4	2408	7387
6	5	1246	7390
6	6	250	7391
6	7	44	7391
6	8	9	7391
6	9	1	7391
6	10	0	7391
7	0	1200	0
7	1	2159	6067
7	2	2365	7170
7	3	2400	7344
7	4	2408	7387
7	5	1246	7390
7	6	250	7391
7	7	44	7391
7	8	9	7391
7	9	1	7391
7	10	0	7391
8	0	1200	0
8	1	2159	6067
8	2	2365	7170
8	3	2400	7344
8	4	2408	7387
8	5	1246	7390
8	6	250	7391
8	7	44	7391
8	8	9	7391
8	9	1	7391
8	10	0	7391
9	0	1200	0
9	1	2159	6067
9	2	2365	7170
9	3	2400	7344
9	4	2408	7387
9	5	1246	7390
9	6	250	7391
9	7	44	7391
9	8	9	7391
9	9	1	7391
9	10	0	7391
10	0	1200	0
10	1	2159	6067
10	2	2365	7170
10	3	2400	7344
10	4	2408	7387
10	5	1246	7390
10	6	250	7391
10	7	44	7391
10	8	9	7391
10	9	1	7391
10	10	0	7391
11	0	1200	0
11	1	2240	6095
11	2	2444	7089
11	3	2476	7274
11	4	2484	7309
11	5	1307	7314
11	6	246	7314
11	7	42	7314
11	8	10	7314
11	9	2	7314
11	10	1	7314
11	11	0	7314
12	0	1200	0
12	1	2240	6095
12	2	2444	7089
12	3	2476	7274
12	4	2484	7309
12	5	1307	7314
12	6	246	7314
12	7	42	7314
12	8	10	7314
12	9	2	7314
12	10	1	7314
12	11	0	7314
13	0	1200	0
13	1	2240	6095
13	2	2444	7089
13	3	2476	7274
13	4	2484	7309
13	5	1307	7314
13	6	246	7314
13	7	42	7314
13	8	10	7314
13	9	2	7314
13	10	1	7314
13	11	0	7314
14	0	1200	0
14	1	2240	6095
14	2	2444	7089
14	3	2476	7274
14	4	2484	7309
14	5	1307	7314
14	6	246	7314
14	7	42	7314
14	8	10	7314
14	9	2	7314
14	10	1	7314
14	11	0	7314
15	0	1200	0
15	1	2240	6095
15	2	2444	7089
15	3	2476	7274
15	4	2484	7309
15	5	1307	7314
15	6	246	7314
15	7	42	7314
15	8	10	7314
15	9	2	7314
15	10	1	7314
15	11	0	7314
16	0	1200	0
16	1	2100	6267
16	2	2331	7201
16	3	2361	7398
16	4	2364	7430
16	5	1194	7434
16	6	266	7434
16	7	35	7434
16	8	5	7434
16	9	2	7434
16	10	0	7434
17	0	1200	0
17	1	2100	6267
17	2	2331	7201
17	3	2361	7398
17	4	2364	7430
17	5	1194	7434
17	6	266	7434
17	7	35	7434
17	8	5	7434
17	9	2	7434
17	10	0	7434
18	0	1200	0
18	1	2100	6267
18	2	2331	7201
18	3	2361	7398
18	4	2364	7430
18	5	1194	7434
18	6	266	7434
18	7	35	7434
18	8	5	7434
18	9	2	7434
18	10	0	7434
19	0	1200	0
19	1	2100	6267
19	2	2331	7201
19	3	2361	7398
19	4	2364	7430
19	5	1194	7434
19	6	266	7434
19	7	35	7434
19	8	5	7434
19	9	2	7434
19	10	0	7434
20	0	1200	0
20	1	2100	6267
20	2	2331	7201
20	3	2361	7398
20	4	2364	7430
20	5	1194	7434
20	6	266	7434
20	7	35	7434
20	8	5	7434
20	9	2	7434
20	10	0	7434
