Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	207	9793	0	43
1	2	352	9648	0	72
1	3	529	9471	0	114
1	4	777	9223	0	170
1	5	949	8953	98	230
1	6	1157	8636	207	271
1	7	1305	8343	352	303
1	8	1456	8015	529	316
1	9	1532	7691	777	331
1	10	1630	7323	1047	356
1	11	1660	6976	1364	383
1	12	1705	6638	1657	410
1	13	1701	6314	1985	435
1	14	1702	5989	2309	465
1	15	1667	5656	2677	491
1	16	1635	5341	3024	509
1	17	1619	5019	3362	525
1	18	1606	4708	3686	535
1	19	1605	4384	4011	546
1	20	1564	4092	4344	558
1	21	1529	3812	4659	574
1	22	1497	3522	4981	592
1	23	1466	3242	5292	606
1	24	1408	2976	5616	618
1	25	1357	2735	5908	630
1	26	1303	2509	6188	637
1	27	1213	2309	6478	646
1	28	1131	2111	6758	651
1	29	1011	1965	7024	656
1	30	901	1834	7265	659
1	31	787	1722	7491	667
1	32	679	1630	7691	671
1	33	556	1555	7889	678
1	34	478	1487	8035	681
1	35	408	1426	8166	686
1	36	351	1371	8278	688
1	37	297	1333	8370	690
1	38	264	1291	8445	693
1	39	230	1257	8513	694
1	40	197	1229	8574	695
1	41	164	1207	8629	696
1	42	147	1186	8667	696
1	43	126	1165	8709	698
1	44	108	1149	8743	699
1	45	89	1140	8771	702
1	46	77	1130	8793	704
1	47	65	1121	8814	705
1	48	48	1117	8835	705
1	49	36	1113	8851	705
1	50	28	1112	8860	705
1	51	18	1112	8870	706
1	52	10	1111	8879	708
1	53	6	1111	8883	708
1	54	3	1110	8887	709
1	55	2	1110	8888	709
1	56	2	1110	8888	712
1	57	1	1110	8889	712
1	58	1	1110	8889	715
1	59	0	1110	8890	716
2	0	100	9900	0	0
2	1	207	9793	0	43
2	2	352	9648	0	72
2	3	529	9471	0	114
2	4	777	9223	0	170
2	5	949	8953	98	230
2	6	1157	8636	207	271
2	7	1305	8343	352	303
2	8	1456	8015	529	316
2	9	1532	7691	777	331
2	10	1630	7323	1047	356
2	11	1660	6976	1364	383
2	12	1705	6638	1657	410
2	13	1701	6314	1985	435
2	14	1702	5989	2309	465
2	15	1667	5656	2677	491
2	16	1635	5341	3024	509
2	17	1619	5019	3362	525
2	18	1606	4708	3686	535
2	19	1605	4384	4011	546
2	20	1564	4092	4344	558
2	21	1529	3812	4659	574
2	22	1497	3522	4981	592
2	23	1466	3242	5292	606
2	24	1408	2976	5616	618
2	25	1357	2735	5908	630
2	26	1303	2509	6188	637
2	27	1213	2309	6478	646
2	28	1131	2111	6758	651
2	29	1011	1965	7024	656
2	30	901	1834	7265	659
2	31	787	1722	7491	667
2	32	679	1630	7691	671
2	33	556	1555	7889	678
2	34	478	1487	8035	681
2	35	408	1426	8166	686
2	36	351	1371	8278	688
2	37	297	1333	8370	690
2	38	264	1291	8445	693
2	39	230	1257	8513	694
2	40	197	1229	8574	695
2	41	164	1207	8629	696
2	42	147	1186	8667	696
2	43	126	1165	8709	698
2	44	108	1149	8743	699
2	45	89	1140	8771	702
2	46	77	1130	8793	704
2	47	65	1121	8814	705
2	48	48	1117	8835	705
2	49	36	1113	8851	705
2	50	28	1112	8860	705
2	51	18	1112	8870	706
2	52	10	1111	8879	708
2	53	6	1111	8883	708
2	54	3	1110	8887	709
2	55	2	1110	8888	709
2	56	2	1110	8888	712
2	57	1	1110	8889	712
2	58	1	1110	8889	715
2	59	0	1110	8890	716
3	0	100	9900	0	0
3	1	207	9793	0	43
3	2	352	9648	0	72
3	3	529	9471	0	114
3	4	777	9223	0	170
3	5	949	8953	98	230
3	6	1157	8636	207	271
3	7	1305	8343	352	303
3	8	1456	8015	529	316
3	9	1532	7691	777	331
3	10	1630	7323	1047	356
3	11	1660	6976	1364	383
3	12	1705	6638	1657	410
3	13	1701	6314	1985	435
3	14	1702	5989	2309	465
3	15	1667	5656	2677	491
3	16	1635	5341	3024	509
3	17	1619	5019	3362	525
3	18	1606	4708	3686	535
3	19	1605	4384	4011	546
3	20	1564	4092	4344	558
3	21	1529	3812	4659	574
3	22	1497	3522	4981	592
3	23	1466	3242	5292	606
3	24	1408	2976	5616	618
3	25	1357	2735	5908	630
3	26	1303	2509	6188	637
3	27	1213	2309	6478	646
3	28	1131	2111	6758	651
3	29	1011	1965	7024	656
3	30	901	1834	7265	659
3	31	787	1722	7491	667
3	32	679	1630	7691	671
3	33	556	1555	7889	678
3	34	478	1487	8035	681
3	35	408	1426	8166	686
3	36	351	1371	8278	688
3	37	297	1333	8370	690
3	38	264	1291	8445	693
3	39	230	1257	8513	694
3	40	197	1229	8574	695
3	41	164	1207	8629	696
3	42	147	1186	8667	696
3	43	126	1165	8709	698
3	44	108	1149	8743	699
3	45	89	1140	8771	702
3	46	77	1130	8793	704
3	47	65	1121	8814	705
3	48	48	1117	8835	705
3	49	36	1113	8851	705
3	50	28	1112	8860	705
3	51	18	1112	8870	706
3	52	10	1111	8879	708
3	53	6	1111	8883	708
3	54	3	1110	8887	709
3	55	2	1110	8888	709
3	56	2	1110	8888	712
3	57	1	1110	8889	712
3	58	1	1110	8889	715
3	59	0	1110	8890	716
4	0	100	9900	0	0
4	1	218	9782	0	77
4	2	399	9601	0	127
4	3	603	9397	0	158
4	4	848	9152	0	211
4	5	1053	8852	95	249
4	6	1242	8540	218	305
4	7	1399	8202	399	336
4	8	1583	7814	603	380
4	9	1724	7428	848	435
4	10	1848	7004	1148	485
4	11	1933	6607	1460	518
4	12	1989	6213	1798	549
4	13	1993	5821	2186	585
4	14	1984	5444	2572	612
4	15	1932	5072	2996	643
4	16	1904	4703	3393	662
4	17	1865	4348	3787	669
4	18	1793	4028	4179	676
4	19	1719	3725	4556	692
4	20	1628	3444	4928	708
4	21	1490	3213	5297	716
4	22	1346	3002	5652	722
4	23	1216	2812	5972	742
4	24	1072	2653	6275	751
4	25	951	2493	6556	762
4	26	860	2353	6787	774
4	27	768	2234	6998	783
4	28	683	2129	7188	788
4	29	617	2036	7347	795
4	30	547	1946	7507	803
4	31	485	1868	7647	808
4	32	443	1791	7766	814
4	33	402	1727	7871	817
4	34	368	1668	7964	818
4	35	317	1629	8054	821
4	36	296	1572	8132	824
4	37	262	1529	8209	824
4	38	240	1487	8273	828
4	39	208	1460	8332	829
4	40	198	1431	8371	830
4	41	171	1401	8428	831
4	42	149	1380	8471	833
4	43	124	1363	8513	835
4	44	110	1350	8540	835
4	45	91	1340	8569	836
4	46	75	1326	8599	837
4	47	61	1319	8620	838
4	48	48	1315	8637	840
4	49	40	1310	8650	840
4	50	38	1302	8660	844
4	51	27	1299	8674	845
4	52	22	1297	8681	845
4	53	18	1297	8685	846
4	54	16	1294	8690	847
4	55	13	1289	8698	848
4	56	13	1286	8701	851
4	57	15	1282	8703	853
4	58	17	1280	8703	854
4	59	17	1277	8706	857
4	60	16	1273	8711	858
4	61	18	1268	8714	858
4	62	19	1263	8718	858
4	63	19	1261	8720	858
4	64	18	1259	8723	859
4	65	18	1255	8727	859
4	66	16	1252	8732	865
4	67	11	1252	8737	865
4	68	10	1251	8739	868
4	69	9	1250	8741	871
4	70	7	1248	8745	872
4	71	5	1247	8748	873
4	72	8	1244	8748	873
4	73	8	1243	8749	874
4	74	7	1243	8750	876
4	75	5	1243	8752	877
4	76	4	1243	8753	879
4	77	1	1243	8756	880
4	78	1	1242	8757	881
4	79	1	1242	8757	883
