Trial	Day	Infected	Vaccinated
15	12	101	4707
15	13	46	4736
15	14	20	4756
15	15	6	4776
15	16	3	4788
15	17	3	4803
15	18	0	4818
16	0	1200	0
16	1	2103	1386
16	2	3013	2474
16	3	3782	3210
16	4	4247	3701
16	5	3405	3990
16	6	2644	4231
16	7	1826	4362
16	8	1115	4477
16	9	676	4557
16	10	356	4614
16	11	193	4674
16	12	101	4707
16	13	46	4736
16	14	20	4756
16	15	6	4776
16	16	3	4788
16	17	3	4803
16	18	0	4818
17	0	1200	0
17	1	2103	1386
17	2	3013	2474
17	3	3782	3210
17	4	4247	3701
17	5	3405	3990
17	6	2644	4231
17	7	1826	4362
17	8	1115	4477
17	9	676	4557
17	10	356	4614
17	11	193	4674
17	12	101	4707
17	13	46	4736
17	14	20	4756
17	15	6	4776
17	16	3	4788
17	17	3	4803
17	18	0	4818
18	0	1200	0
18	1	2103	1386
18	2	3013	2474
18	3	3782	3210
18	4	4247	3701
18	5	3405	3990
18	6	2644	4231
18	7	1826	4362
18	8	1115	4477
18	9	676	4557
18	10	356	4614
18	11	193	4674
18	12	101	4707
18	13	46	4736
18	14	20	4756
18	15	6	4776
18	16	3	4788
18	17	3	4803
18	18	0	4818
19	0	1200	0
19	1	2216	1474
19	2	3144	2472
19	3	3814	3183
19	4	4316	3695
19	5	3502	3957
19	6	2690	4159
19	7	1873	4300
19	8	1254	4398
19	9	767	4470
19	10	399	4507
19	11	193	4548
19	12	84	4566
19	13	33	4599
19	14	18	4610
19	15	8	4628
19	16	2	4644
19	17	0	4652
20	0	1200	0
20	1	2216	1474
20	2	3144	2472
20	3	3814	3183
20	4	4316	3695
20	5	3502	3957
20	6	2690	4159
20	7	1873	4300
20	8	1254	4398
20	9	767	4470
20	10	399	4507
20	11	193	4548
20	12	84	4566
20	13	33	4599
20	14	18	4610
20	15	8	4628
20	16	2	4644
20	17	0	4652
