Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	234	9766	0	284
1	2	418	9582	0	532
1	3	623	9377	0	799
1	4	878	9122	0	1026
1	5	1094	8806	100	1298
1	6	1244	8522	234	1451
1	7	1399	8183	418	1622
1	8	1500	7877	623	1830
1	9	1545	7577	878	1994
1	10	1507	7299	1194	2145
1	11	1473	7049	1478	2298
1	12	1368	6815	1817	2425
1	13	1307	6570	2123	2533
1	14	1203	6374	2423	2642
1	15	1066	6233	2701	2734
1	16	969	6080	2951	2805
1	17	857	5958	3185	2885
1	18	727	5843	3430	2981
1	19	617	5757	3626	3053
1	20	554	5679	3767	3129
1	21	465	5615	3920	3185
1	22	406	5552	4042	3241
1	23	347	5496	4157	3306
1	24	304	5453	4243	3355
1	25	260	5419	4321	3422
1	26	222	5393	4385	3481
1	27	191	5361	4448	3530
1	28	163	5333	4504	3583
1	29	142	5311	4547	3625
1	30	129	5290	4581	3678
1	31	119	5274	4607	3723
1	32	95	5266	4639	3769
1	33	73	5260	4667	3811
1	34	57	5254	4689	3861
1	35	38	5252	4710	3893
1	36	28	5246	4726	3916
1	37	23	5243	4734	3952
1	38	17	5243	4740	3973
1	39	11	5243	4746	3998
1	40	9	5243	4748	4020
1	41	3	5243	4754	4045
1	42	0	5243	4757	4069
2	0	100	9900	0	0
2	1	234	9766	0	284
2	2	418	9582	0	532
2	3	623	9377	0	799
2	4	878	9122	0	1026
2	5	1094	8806	100	1298
2	6	1244	8522	234	1451
2	7	1399	8183	418	1622
2	8	1500	7877	623	1830
2	9	1545	7577	878	1994
2	10	1507	7299	1194	2145
2	11	1473	7049	1478	2298
2	12	1368	6815	1817	2425
2	13	1307	6570	2123	2533
2	14	1203	6374	2423	2642
2	15	1066	6233	2701	2734
2	16	969	6080	2951	2805
2	17	857	5958	3185	2885
2	18	727	5843	3430	2981
2	19	617	5757	3626	3053
2	20	554	5679	3767	3129
2	21	465	5615	3920	3185
2	22	406	5552	4042	3241
2	23	347	5496	4157	3306
2	24	304	5453	4243	3355
2	25	260	5419	4321	3422
2	26	222	5393	4385	3481
2	27	191	5361	4448	3530
2	28	163	5333	4504	3583
2	29	142	5311	4547	3625
2	30	129	5290	4581	3678
2	31	119	5274	4607	3723
2	32	95	5266	4639	3769
2	33	73	5260	4667	3811
2	34	57	5254	4689	3861
2	35	38	5252	4710	3893
2	36	28	5246	4726	3916
2	37	23	5243	4734	3952
2	38	17	5243	4740	3973
2	39	11	5243	4746	3998
