Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	213	9787	0	420
1	2	365	9635	0	763
1	3	555	9445	0	1034
1	4	791	9209	0	1338
1	5	971	8929	100	1662
1	6	1138	8649	213	1913
1	7	1278	8357	365	2194
1	8	1371	8074	555	2478
1	9	1392	7817	791	2677
1	10	1321	7608	1071	2862
1	11	1237	7412	1351	3037
1	12	1122	7235	1643	3208
1	13	1007	7067	1926	3315
1	14	877	6940	2183	3446
1	15	776	6832	2392	3559
1	16	673	6739	2588	3674
1	17	582	6653	2765	3776
1	18	497	6570	2933	3866
1	19	415	6525	3060	3964
1	20	353	6479	3168	4068
1	21	297	6442	3261	4136
1	22	250	6403	3347	4216
1	23	190	6380	3430	4313
1	24	162	6363	3475	4384
1	25	130	6349	3521	4445
1	26	102	6340	3558	4513
1	27	73	6330	3597	4586
1	28	52	6328	3620	4658
1	29	40	6323	3637	4717
1	30	30	6319	3651	4781
1	31	25	6315	3660	4825
1	32	18	6312	3670	4883
1	33	17	6311	3672	4913
1	34	14	6309	3677	4969
1	35	10	6309	3681	5009
1	36	7	6308	3685	5054
1	37	6	6306	3688	5102
1	38	6	6305	3689	5149
1	39	4	6305	3691	5200
1	40	4	6305	3691	5244
1	41	3	6305	3692	5285
1	42	1	6305	3694	5317
1	43	0	6305	3695	5338
2	0	100	9900	0	0
2	1	213	9787	0	420
2	2	365	9635	0	763
2	3	555	9445	0	1034
2	4	791	9209	0	1338
2	5	971	8929	100	1662
2	6	1138	8649	213	1913
2	7	1278	8357	365	2194
2	8	1371	8074	555	2478
2	9	1392	7817	791	2677
2	10	1321	7608	1071	2862
2	11	1237	7412	1351	3037
2	12	1122	7235	1643	3208
2	13	1007	7067	1926	3315
2	14	877	6940	2183	3446
2	15	776	6832	2392	3559
2	16	673	6739	2588	3674
2	17	582	6653	2765	3776
2	18	497	6570	2933	3866
2	19	415	6525	3060	3964
2	20	353	6479	3168	4068
2	21	297	6442	3261	4136
2	22	250	6403	3347	4216
2	23	190	6380	3430	4313
2	24	162	6363	3475	4384
2	25	130	6349	3521	4445
2	26	102	6340	3558	4513
2	27	73	6330	3597	4586
2	28	52	6328	3620	4658
2	29	40	6323	3637	4717
2	30	30	6319	3651	4781
2	31	25	6315	3660	4825
2	32	18	6312	3670	4883
2	33	17	6311	3672	4913
2	34	14	6309	3677	4969
2	35	10	6309	3681	5009
2	36	7	6308	3685	5054
2	37	6	6306	3688	5102
2	38	6	6305	3689	5149
2	39	4	6305	3691	5200
2	40	4	6305	3691	5244
2	41	3	6305	3692	5285
2	42	1	6305	3694	5317
2	43	0	6305	3695	5338
3	0	100	9900	0	0
3	1	213	9787	0	420
3	2	365	9635	0	763
3	3	555	9445	0	1034
3	4	791	9209	0	1338
3	5	971	8929	100	1662
3	6	1138	8649	213	1913
3	7	1278	8357	365	2194
3	8	1371	8074	555	2478
3	9	1392	7817	791	2677
3	10	1321	7608	1071	2862
3	11	1237	7412	1351	3037
3	12	1122	7235	1643	3208
3	13	1007	7067	1926	3315
3	14	877	6940	2183	3446
3	15	776	6832	2392	3559
3	16	673	6739	2588	3674
3	17	582	6653	2765	3776
3	18	497	6570	2933	3866
