Trial	Day	Infected	Vaccinated
1	0	1200	0
1	1	2119	1523
1	2	2996	2565
1	3	3594	3253
1	4	4037	3740
1	5	3156	4108
1	6	2386	4340
1	7	1606	4513
1	8	1050	4624
1	9	633	4723
1	10	343	4808
1	11	188	4858
1	12	92	4909
1	13	50	4953
1	14	25	4980
1	15	10	5009
1	16	2	5027
1	17	1	5042
1	18	1	5054
1	19	0	5063
2	0	1200	0
2	1	2119	1523
2	2	2996	2565
2	3	3594	3253
2	4	4037	3740
2	5	3156	4108
2	6	2386	4340
2	7	1606	4513
2	8	1050	4624
2	9	633	4723
2	10	343	4808
2	11	188	4858
2	12	92	4909
2	13	50	4953
2	14	25	4980
2	15	10	5009
2	16	2	5027
2	17	1	5042
2	18	1	5054
2	19	0	5063
3	0	1200	0
3	1	2119	1523
3	2	2996	2565
3	3	3594	3253
3	4	4037	3740
3	5	3156	4108
3	6	2386	4340
3	7	1606	4513
3	8	1050	4624
3	9	633	4723
3	10	343	4808
3	11	188	4858
3	12	92	4909
3	13	50	4953
3	14	25	4980
3	15	10	5009
3	16	2	5027
3	17	1	5042
3	18	1	5054
3	19	0	5063
4	0	1200	0
4	1	2119	1523
4	2	2996	2565
4	3	3594	3253
4	4	4037	3740
4	5	3156	4108
4	6	2386	4340
4	7	1606	4513
4	8	1050	4624
4	9	633	4723
4	10	343	4808
4	11	188	4858
4	12	92	4909
4	13	50	4953
4	14	25	4980
4	15	10	5009
4	16	2	5027
4	17	1	5042
4	18	1	5054
4	19	0	5063
5	0	1200	0
5	1	2202	1519
5	2	3073	2453
5	3	3798	3303
5	4	4209	3756
5	5	3346	4058
5	6	2474	4265
5	7	1696	4409
5	8	1012	4515
5	9	624	4606
5	10	342	4682
5	11	175	4738
5	12	87	4787
5	13	47	4809
5	14	24	4835
5	15	9	4857
5	16	6	4875
5	17	1	4884
5	18	0	4898
6	0	1200	0
6	1	2202	1519
6	2	3073	2453
6	3	3798	3303
6	4	4209	3756
6	5	3346	4058
6	6	2474	4265
6	7	1696	4409
6	8	1012	4515
6	9	624	4606
6	10	342	4682
6	11	175	4738
6	12	87	4787
6	13	47	4809
6	14	24	4835
6	15	9	4857
6	16	6	4875
6	17	1	4884
6	18	0	4898
7	0	1200	0
7	1	2202	1519
7	2	3073	2453
7	3	3798	3303
7	4	4209	3756
