Trial	Day	Infected	Vaccinated
7	5	3346	4058
7	6	2474	4265
7	7	1696	4409
7	8	1012	4515
7	9	624	4606
7	10	342	4682
7	11	175	4738
7	12	87	4787
7	13	47	4809
7	14	24	4835
7	15	9	4857
7	16	6	4875
7	17	1	4884
7	18	0	4898
8	0	1200	0
8	1	2202	1519
8	2	3073	2453
8	3	3798	3303
8	4	4209	3756
8	5	3346	4058
8	6	2474	4265
8	7	1696	4409
8	8	1012	4515
8	9	624	4606
8	10	342	4682
8	11	175	4738
8	12	87	4787
8	13	47	4809
8	14	24	4835
8	15	9	4857
8	16	6	4875
8	17	1	4884
8	18	0	4898
9	0	1200	0
9	1	2202	1519
9	2	3073	2453
9	3	3798	3303
9	4	4209	3756
9	5	3346	4058
9	6	2474	4265
9	7	1696	4409
9	8	1012	4515
9	9	624	4606
9	10	342	4682
9	11	175	4738
9	12	87	4787
9	13	47	4809
9	14	24	4835
9	15	9	4857
9	16	6	4875
9	17	1	4884
9	18	0	4898
10	0	1200	0
10	1	2202	1519
10	2	3073	2453
10	3	3798	3303
10	4	4209	3756
10	5	3346	4058
10	6	2474	4265
10	7	1696	4409
10	8	1012	4515
10	9	624	4606
10	10	342	4682
10	11	175	4738
10	12	87	4787
10	13	47	4809
10	14	24	4835
10	15	9	4857
10	16	6	4875
10	17	1	4884
10	18	0	4898
11	0	1200	0
11	1	2149	1496
11	2	3099	2698
11	3	3830	3350
11	4	4283	3802
11	5	3404	4090
11	6	2617	4258
11	7	1763	4378
11	8	1094	4475
11	9	675	4566
11	10	376	4618
11	11	208	4661
11	12	114	4695
11	13	52	4727
11	14	18	4748
11	15	8	4770
11	16	2	4783
11	17	0	4787
12	0	1200	0
12	1	2149	1496
12	2	3099	2698
12	3	3830	3350
12	4	4283	3802
12	5	3404	4090
12	6	2617	4258
12	7	1763	4378
12	8	1094	4475
12	9	675	4566
12	10	376	4618
12	11	208	4661
12	12	114	4695
12	13	52	4727
12	14	18	4748
12	15	8	4770
12	16	2	4783
12	17	0	4787
13	0	1200	0
13	1	2149	1496
13	2	3099	2698
13	3	3830	3350
13	4	4283	3802
13	5	3404	4090
13	6	2617	4258
13	7	1763	4378
13	8	1094	4475
13	9	675	4566
13	10	376	4618
13	11	208	4661
13	12	114	4695
13	13	52	4727
13	14	18	4748
13	15	8	4770
13	16	2	4783
13	17	0	4787
14	0	1200	0
14	1	2149	1496
14	2	3099	2698
14	3	3830	3350
14	4	4283	3802
14	5	3404	4090
14	6	2617	4258
14	7	1763	4378
14	8	1094	4475
14	9	675	4566
14	10	376	4618
14	11	208	4661
14	12	114	4695
14	13	52	4727
14	14	18	4748
14	15	8	4770
14	16	2	4783
14	17	0	4787
15	0	1200	0
15	1	2149	1496
15	2	3099	2698
15	3	3830	3350
15	4	4283	3802
15	5	3404	4090
15	6	2617	4258
15	7	1763	4378
15	8	1094	4475
15	9	675	4566
15	10	376	4618
15	11	208	4661
15	12	114	4695
15	13	52	4727
15	14	18	4748
15	15	8	4770
15	16	2	4783
15	17	0	4787
16	0	1200	0
16	1	2169	1530
16	2	3044	2667
16	3	3730	3425
16	4	4149	3839
16	5	3297	4132
16	6	2467	4343
16	7	1695	4479
16	8	1050	4585
16	9	659	4659
16	10	360	4720
16	11	182	4772
16	12	83	4812
16	13	42	4848
16	14	14	4873
16	15	7	4892
16	16	4	4909
16	17	0	4925
17	0	1200	0
17	1	2169	1530
17	2	3044	2667
17	3	3730	3425
17	4	4149	3839
17	5	3297	4132
17	6	2467	4343
17	7	1695	4479
17	8	1050	4585
17	9	659	4659
17	10	360	4720
17	11	182	4772
17	12	83	4812
17	13	42	4848
17	14	14	4873
17	15	7	4892
17	16	4	4909
17	17	0	4925
18	0	1200	0
18	1	2169	1530
18	2	3044	2667
18	3	3730	3425
18	4	4149	3839
18	5	3297	4132
18	6	2467	4343
18	7	1695	4479
18	8	1050	4585
18	9	659	4659
18	10	360	4720
18	11	182	4772
18	12	83	4812
18	13	42	4848
18	14	14	4873
18	15	7	4892
18	16	4	4909
18	17	0	4925
19	0	1200	0
19	1	2169	1530
19	2	3044	2667
19	3	3730	3425
19	4	4149	3839
19	5	3297	4132
19	6	2467	4343
19	7	1695	4479
19	8	1050	4585
19	9	659	4659
19	10	360	4720
19	11	182	4772
19	12	83	4812
19	13	42	4848
19	14	14	4873
19	15	7	4892
19	16	4	4909
19	17	0	4925
20	0	1200	0
20	1	2169	1530
20	2	3044	2667
20	3	3730	3425
20	4	4149	3839
20	5	3297	4132
20	6	2467	4343
20	7	1695	4479
20	8	1050	4585
20	9	659	4659
20	10	360	4720
20	11	182	4772
20	12	83	4812
20	13	42	4848
20	14	14	4873
20	15	7	4892
20	16	4	4909
20	17	0	4925
