Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	211	9789	0	94
1	2	373	9627	0	204
1	3	602	9398	0	310
1	4	874	9126	0	496
1	5	1026	8874	100	618
1	6	1203	8586	211	702
1	7	1321	8306	373	810
1	8	1392	8006	602	921
1	9	1408	7718	874	999
1	10	1435	7439	1126	1081
1	11	1409	7177	1414	1143
1	12	1404	6902	1694	1195
1	13	1373	6633	1994	1241
1	14	1341	6377	2282	1320
1	15	1319	6120	2561	1385
1	16	1281	5896	2823	1451
1	17	1259	5643	3098	1496
1	18	1209	5424	3367	1551
1	19	1153	5224	3623	1605
1	20	1071	5049	3880	1661
1	21	1023	4873	4104	1705
1	22	925	4718	4357	1747
1	23	863	4561	4576	1789
1	24	813	4411	4776	1829
1	25	749	4300	4951	1862
1	26	689	4184	5127	1902
1	27	641	4077	5282	1926
1	28	583	3978	5439	1955
1	29	504	3907	5589	1978
1	30	460	3840	5700	2001
1	31	414	3770	5816	2020
1	32	363	3714	5923	2040
1	33	303	3675	6022	2070
1	34	278	3629	6093	2099
1	35	245	3595	6160	2118
1	36	210	3560	6230	2135
1	37	188	3526	6286	2153
1	38	170	3505	6325	2171
1	39	149	3480	6371	2185
1	40	134	3461	6405	2201
1	41	113	3447	6440	2219
1	42	100	3426	6474	2240
1	43	90	3415	6495	2254
1	44	81	3399	6520	2267
1	45	74	3387	6539	2284
1	46	66	3381	6553	2298
1	47	51	3375	6574	2314
1	48	44	3371	6585	2328
1	49	34	3365	6601	2341
1	50	26	3361	6613	2359
1	51	22	3359	6619	2366
1	52	21	3354	6625	2374
1	53	22	3349	6629	2386
1	54	22	3343	6635	2402
1	55	25	3336	6639	2413
1	56	27	3332	6641	2424
1	57	23	3331	6646	2432
1	58	20	3329	6651	2437
1	59	18	3325	6657	2442
1	60	13	3323	6664	2453
1	61	11	3321	6668	2459
1	62	11	3320	6669	2467
1	63	9	3320	6671	2475
1	64	5	3320	6675	2490
1	65	5	3318	6677	2504
1	66	5	3316	6679	2514
1	67	4	3316	6680	2523
1	68	5	3315	6680	2530
1	69	5	3315	6680	2543
1	70	4	3314	6682	2553
1	71	4	3312	6684	2564
1	72	4	3312	6684	2571
1	73	4	3311	6685	2576
1	74	5	3310	6685	2585
1	75	5	3309	6686	2590
1	76	3	3309	6688	2599
1	77	3	3309	6688	2607
1	78	2	3309	6689	2615
1	79	1	3309	6690	2621
1	80	0	3309	6691	2627
