Trial	Day	Infected	Susceptible	Recovered
1	0	10	90	0
1	1	6	94	0
1	2	14	86	0
1	3	22	78	0
1	4	23	73	4
1	5	25	69	6
1	6	24	62	14
1	7	28	50	22
1	8	28	45	27
1	9	26	43	31
1	10	21	41	38
1	11	10	40	50
1	12	7	38	55
1	13	5	38	57
1	14	5	36	59
1	15	6	34	60
1	16	9	29	62
1	17	13	25	62
1	18	13	23	64
1	19	11	23	66
1	20	7	22	71
1	21	3	22	75
1	22	1	22	77
1	23	1	22	77
1	24	0	22	78
2	0	10	90	0
2	1	6	94	0
2	2	14	86	0
2	3	22	78	0
2	4	23	73	4
2	5	25	69	6
2	6	24	62	14
2	7	28	50	22
2	8	28	45	27
2	9	26	43	31
2	10	21	41	38
2	11	10	40	50
2	12	7	38	55
2	13	5	38	57
2	14	5	36	59
2	15	6	34	60
2	16	9	29	62
2	17	13	25	62
2	18	13	23	64
2	19	11	23	66
2	20	7	22	71
2	21	3	22	75
2	22	1	22	77
2	23	1	22	77
2	24	0	22	78
3	0	10	90	0
3	1	6	94	0
3	2	14	86	0
3	3	22	78	0
3	4	23	73	4
3	5	25	69	6
3	6	24	62	14
3	7	28	50	22
3	8	28	45	27
3	9	26	43	31
3	10	21	41	38
3	11	10	40	50
3	12	7	38	55
3	13	5	38	57
3	14	5	36	59
3	15	6	34	60
3	16	9	29	62
3	17	13	25	62
3	18	13	23	64
3	19	11	23	66
3	20	7	22	71
3	21	3	22	75
3	22	1	22	77
3	23	1	22	77
3	24	0	22	78
4	0	10	90	0
4	1	6	94	0
4	2	14	86	0
4	3	22	78	0
4	4	23	73	4
4	5	25	69	6
4	6	24	62	14
4	7	28	50	22
4	8	28	45	27
4	9	26	43	31
4	10	21	41	38
4	11	10	40	50
4	12	7	38	55
4	13	5	38	57
4	14	5	36	59
4	15	6	34	60
4	16	9	29	62
4	17	13	25	62
4	18	13	23	64
4	19	11	23	66
4	20	7	22	71
4	21	3	22	75
4	22	1	22	77
4	23	1	22	77
4	24	0	22	78
5	0	10	90	0
5	1	7	93	0
5	2	12	88	0
5	3	18	82	0
5	4	20	75	5
5	5	26	67	7
5	6	31	57	12
5	7	29	53	18
5	8	31	44	25
5	9	30	37	33
5	10	26	31	43
5	11	26	27	47
5	12	18	26	56
5	13	13	24	63
5	14	7	24	69
5	15	5	22	73
5	16	5	21	74
5	17	3	21	76
5	18	4	20	76
5	19	2	20	78
5	20	1	20	79
5	21	1	20	79
5	22	0	20	80
6	0	10	90	0
6	1	7	93	0
6	2	12	88	0
6	3	18	82	0
6	4	20	75	5
6	5	26	67	7
6	6	31	57	12
6	7	29	53	18
6	8	31	44	25
6	9	30	37	33
6	10	26	31	43
6	11	26	27	47
6	12	18	26	56
6	13	13	24	63
6	14	7	24	69
6	15	5	22	73
6	16	5	21	74
6	17	3	21	76
6	18	4	20	76
6	19	2	20	78
6	20	1	20	79
6	21	1	20	79
6	22	0	20	80
7	0	10	90	0
7	1	7	93	0
7	2	12	88	0
7	3	18	82	0
7	4	20	75	5
7	5	26	67	7
7	6	31	57	12
7	7	29	53	18
7	8	31	44	25
7	9	30	37	33
7	10	26	31	43
7	11	26	27	47
7	12	18	26	56
7	13	13	24	63
7	14	7	24	69
7	15	5	22	73
7	16	5	21	74
7	17	3	21	76
7	18	4	20	76
7	19	2	20	78
7	20	1	20	79
7	21	1	20	79
7	22	0	20	80
8	0	10	90	0
8	1	7	93	0
8	2	12	88	0
8	3	18	82	0
8	4	20	75	5
8	5	26	67	7
8	6	31	57	12
8	7	29	53	18
8	8	31	44	25
8	9	30	37	33
8	10	26	31	43
8	11	26	27	47
8	12	18	26	56
8	13	13	24	63
8	14	7	24	69
8	15	5	22	73
8	16	5	21	74
8	17	3	21	76
8	18	4	20	76
8	19	2	20	78
8	20	1	20	79
8	21	1	20	79
8	22	0	20	80
9	0	10	90	0
9	1	7	93	0
9	2	12	88	0
9	3	18	82	0
9	4	20	75	5
9	5	26	67	7
9	6	31	57	12
9	7	29	53	18
9	8	31	44	25
9	9	30	37	33
9	10	26	31	43
9	11	26	27	47
9	12	18	26	56
9	13	13	24	63
9	14	7	24	69
9	15	5	22	73
9	16	5	21	74
9	17	3	21	76
9	18	4	20	76
9	19	2	20	78
9	20	1	20	79
9	21	1	20	79
9	22	0	20	80
10	0	10	90	0
10	1	5	95	0
10	2	9	91	0
10	3	12	88	0
10	4	14	83	3
10	5	17	78	5
10	6	21	70	9
10	7	29	59	12
10	8	29	54	17
10	9	29	49	22
10	10	27	43	30
10	11	17	42	41
10	12	19	35	46
10	13	17	32	51
10	14	14	29	57
10	15	15	27	58
10	16	10	25	65
10	17	7	25	68
10	18	4	25	71
10	19	3	24	73
10	20	1	24	75
10	21	1	24	75
10	22	1	24	75
10	23	0	24	76
11	0	10	90	0
11	1	5	95	0
11	2	9	91	0
11	3	12	88	0
11	4	14	83	3
11	5	17	78	5
11	6	21	70	9
11	7	29	59	12
11	8	29	54	17
11	9	29	49	22
11	10	27	43	30
11	11	17	42	41
11	12	19	35	46
11	13	17	32	51
11	14	14	29	57
11	15	15	27	58
11	16	10	25	65
11	17	7	25	68
11	18	4	25	71
11	19	3	24	73
11	20	1	24	75
11	21	1	24	75
11	22	1	24	75
11	23	0	24	76
12	0	10	90	0
12	1	5	95	0
12	2	9	91	0
12	3	12	88	0
12	4	14	83	3
12	5	17	78	5
12	6	21	70	9
12	7	29	59	12
12	8	29	54	17
12	9	29	49	22
12	10	27	43	30
12	11	17	42	41
12	12	19	35	46
12	13	17	32	51
12	14	14	29	57
12	15	15	27	58
12	16	10	25	65
12	17	7	25	68
12	18	4	25	71
12	19	3	24	73
12	20	1	24	75
